,OP,CR,PR,SD,PD,Death
OP,0.4520547945205479,0.0273972602739726,0.0136986301369863,0.2328767123287671,0.1917808219178082,0.0821917808219178
CR,0.0,0.6875,0.0,0.0,0.25,0.0625
PR,0.0,0.14285714285714285,0.42857142857142855,0.0,0.2857142857142857,0.14285714285714285
SD,0.0,0.0,0.0,0.4722222222222222,0.4444444444444444,0.08333333333333333
PD,0.11627906976744186,0.023255813953488372,0.03488372093023256,0.023255813953488372,0.5813953488372093,0.22093023255813954
Death,,,,,,
