,OP,CR,PR,SD,PD,Death
OP,0.43478260869565216,0.010869565217391304,0.0,0.25,0.2391304347826087,0.06521739130434782
CR,0.0,0.25,0.0,0.0,0.75,0.0
PR,0.0,0.0,0.16666666666666666,0.0,0.5,0.3333333333333333
SD,0.07407407407407407,0.037037037037037035,0.0,0.14814814814814814,0.6666666666666666,0.07407407407407407
PD,0.13333333333333333,0.013333333333333334,0.06666666666666667,0.0,0.38666666666666666,0.4
Death,,,,,,
